#property	value	domain	default	required	description
Study	EXR-MTEWA1FeedingStudy-ST	autoID(EXR, uniqAlphaNum, ST)			Document Describing Information About This Sequencing Study; Study ID
- Status	Protect	enum(Add, Modify, Hold, Cancel, Suppress, Release, Protect, Validate, Embargo)	Add	TRUE	Status of the document
- Title	Plasma Time Course Feeding Study	string		TRUE	"A short, unique title of this analysis set"
- Type	Small RNA-seq	enum(Whole Genome Sequencing, Metagenomics, Transcriptome Analysis, Resequencing, Epigenetics, Synthetic Genomics, Forensic or Paleogenomics, Gene Regulation Study, Cancer Genomics, Population Genomics, RNA-seq, Exome Sequencing, Small RNA-seq, Pooled Clone Sequencing, Other)	Small RNA-seq	TRUE	"The Type presents a controlled vocabulary for expressing the overall purpose of the Study: Transcriptome Analysis, Whole Genome sequencing, Metagenomics, Epigenetics, etc."
- Abstract	Determine miRNA expression patterns in plasma of healthy individuals before and after consuming plant-based meals	string		TRUE	"Briefly describes the goals, purpose, and scope of the Study"
* Authors	3	numItems		TRUE	Items -- List of Authors Who Contributed to This Study - PI should be listed here along with other contributors
*- Author Name	Ryan Spengler	string		TRUE	Author name
*-- Role	Member	enum(PI, Co-PI, Submitter, Member)			Role of the person in this Study
*- Author Name	Maria Giraldez	string		TRUE	Author name
*-- Role	Member	enum(PI, Co-PI, Submitter, Member)			Role of the person in this Study
*- Author Name	Muneesh Tewari	string		TRUE	Author name
*-- Role	PI	enum(PI, Co-PI, Submitter, Member)			Role of the person in this Study
- Anticipated Data Repository	GEO	enum(GEO, dbGaP, Both GEO & dbGaP, Other)			"Anticipated Data Repository - like dbGaP, GEO, both dbGaP and GEO or other"
* Related Submissions	1	numItems		TRUE	Items -- Related Submission Documents
*- Related Submission	EXR-MTEWA1FeedingStudy-SU	regexp(EXR-[a-zA-Z0-9]{6,}-SU)		TRUE	ID of related Submission document
*-- DocURL	coll/Submissions/doc/EXR-MTEWA1FeedingStudy-SU	url			"Relative ID (accession) of doc, provide Document URL"
