#property	value	domain	default	required	description
Experiment	EXR-MTEWA1HealthyControls-EX	autoID(EXR, uniqAlphaNum, EX)			Document Describing Information About the Experiment; Experiment ID
- Status	Add	enum(Add, Modify, Hold, Cancel, Suppress, Release, Protect, Validate)	Add	TRUE	Status of the document
- exRNA Source Isolation Protocol		[valueless]			Category -- exRNA Source Isolation Protocol
-- Protocol Description		string		TRUE	Description of exRNA source isolation Protocol
-- Biofluid		[valueless]		TRUE	Category -- Biofluid
--- Cell Removal Step Done		enum(Yes, No)		TRUE	Was a specific cell removal step performed for Biofluid - Yes or No?
---- Cell Removal Method		enum(Low speed centrifugation, High speed centrifugation, Filtration)			Method used for cell removal (Low speed centrifugation, High speed centrifugation, Filtration)
- exRNA Sample Preparation Protocol		[valueless]			Category -- exRNA Sample Preparation Protocol
-- Protocol Description		string		TRUE	Description of exRNA sample preparation protocol
-- Pre-purification of Extracellular Vesicles	No	enum(Yes, No)		TRUE	Were any steps done to pre-purify extracellular vesicles Yes or No?
-- Spike-in RNAs	No	enum(Yes, No)			Were spike-in RNAs used?
-- RNA Isolation Method		[valueless]			Category -- RNA Isolation Method
--- Description		string			Description of RNA isolation method
--- RNA Isolation Kit	miRNeasy (Qiagen)	enum(miRNeasy (Qiagen), Serum and Plasma kit (Qiagen), miRVana (Ambion), MiRVana Paris (Ambion), Trizol + alcohol precipitation, Trizol + spin column, miRcury biofluids (Exiqon), miRCURY RNA isolation kit - Cell & Plant (Exiqon), Plasma/Serum Circulating and Exosomal RNA Purification Kit(Norgen Biotek), Exo50 (Exosome Diagnostics), Total Exosome Isolation Kit and Total Exosome RNA and Protein Isolation Kit (Invitrogen), Nexosome (NX Pharmagen, size exclusion column), PureExo (101Bio), ExoMir (Nordic Biosite), Taqman miRNA ABC, SeraMir Kit (System Biosciences), Other)		TRUE	Type of RNA isolation kit used
-- exRNA Quantification Method		enum(Ribogreen, Bioanalyzer, Nanodrop, Other)		TRUE	Method used for RNA quantification
--- Other exRNA Quantification Method		string			Other method for RNA quantification, if not listed
- Experiment Type	smRNA-Seq	enum(mRNA-Seq, smRNA-Seq, qPCR Assay, Other)		TRUE	Experiment Type - mRNA-Seq, smRNA-Seq, TLDA Assay, or Other
-- smRNA-Seq		[valueless]			Category -- smRNA-Seq
--- smRNA Extraction Protocol		[valueless]			Category -- smRNA Extraction Protocol
---- Protocol Description		string			Description of smRNA extraction protocol
---- Size Selection Method		enum(Gel purification, Pippen prep, Other)			Method used for size selection of small RNAs
----- Other Size Selection Method		string			Other method for size selection of small RNAs, if not listed
---- smRNA Enrichment		string			The smRNA enrichment method used in the extraction protocol
---- Initial smRNA Yield		measurement(ng)			Initial smRNA yield from extraction procedure
---- Method for Assessment of Purity		string			Analysis method used for finding purity of extracted mRNA
--- Library Generation		string		TRUE	Category -- Library Generation
---- Type of Starting Material		enum(total RNA, small RNA, Other)		TRUE	Type of starting material used in library generation (total RNA, small RNA, or Other)
----- Other Type of Starting Material		string			Other type of starting material, if not available in the list
---- Strand Specificity		enum(stranded, non-stranded)		TRUE	Strand specificity of library construction method
---- Total Quantity of RNA Starting Material		measurement(ng)			Quantity of RNA starting material used in library generation
---- Library Construction Kit	TruSeq Small RNA library prep kit (Illumina)	enum(NEBNext small RNA library prep (NEB), Nextera DNA library prep kit (Illumina), NEXTflex (Bioo), TruSeq Small RNA library prep kit (Illumina), BioO NEXTFlex kit (V2), Homebrew Kit, Other)		TRUE	Kit used for library construction
---- RNA Quantification Protocol		[valueless]			Category -- RNA Quantification Protocol
----- Protocol Description		string			Protocol used for RNA Quantification
---- Purification Method		string			Method used for purification of RNA
---- Multiplexed Samples		enum(Yes, No)		TRUE	Description of multiplexing of samples
----- Sample Name		string			Name of sample
----- Index Barcodes		string			Barcodes used for multiplexed samples
--- Reverse Transcription		string			Category -- Reverse Transcription
---- Kit		enum(SMARTer Stranded RNA kit (Clontech), Other)		TRUE	Reverse transcription kit
----- Other Kit		string			Other reverse transcription kit, if not listed
---- Primer Type		enum(poly-dT, Random, Targeted, Universal, Other)			Type of reverse transcription primer (poly-dT, Random, Targeted, Universal (used after RNA ligation of adapter sequences), or Other)
----- Other Primer Type		string			Other type of primer, if not listed
---- Primer Sequence		string			Sequence of reverse transcription primer
--- Adapter Ligation		string			Category -- Adapter Ligation
---- Kit		string			Kit used for adapter ligation
---- 3' RNA Adapter Ligation Protocol		string			Protocol used for 3' RNA adapter ligation
---- 5' RNA Adapter Ligation Protocol		string			Protocol used for 5 RNA adapter ligation
---- 3' Adapter Sequence		string			Sequence of 3' adapter
----- 3' Adapter Concentration		measurement(uM)			Concentration of 3' adapter
---- 5' Adapter Sequence		string			Sequence of 5' adapter
