#property	value	domain	default	required	description
Run	EXR-MTEWA1HealthyControls-RU	autoID(EXR, uniqAlphaNum, RU)			Document Describing Information About the Sequencing Run, Including Raw Data Files; Run ID
- Status	Add	enum(Add, Modify, Hold, Cancel, Suppress, Release, Protect, Validate)	Add	TRUE	Status of the document
- Experimental Design	Determine miRNA expression patterns in plasma and serum of healthy individuals	string		TRUE	Description of experimental design
- Type	small RNA-Seq	enum(small RNA-Seq, qPCR)			Type of experiment - Small RNA-seq or qPCR
-- small RNA-Seq		[valueless]			Category -- small RNA-seq
--- Sequencing Instrument	Illumina HiSeq 2000	bioportalTerms((EFO,http://www.ebi.ac.uk/efo/EFO_0000001),(OBI,http://purl.obolibrary.org/obo/OBI_0000832))		TRUE	Name and model of the sequencing instrument. This field is a look-ahead search box that connects to BioPortal and retrieves a list of correct ontology terms for all types of sequencing instruments (Example: Illumina2500, Illumina2000, IonTorrent, IonProton, MiSeq, Solid, 454).
--- Experiment Details		[valueless]		TRUE	Category -- Experiment Details
---- Directionality	Strand-specific	enum(Strand-specific, Non-strand-specific)		TRUE	Strand specificity of the run
---- Run Type	Single-end	enum(Single-end, Paired-end)		TRUE	Type of run, single end or paired end
---- Maximum Read length	60 nt	measurement(nt)		TRUE	Length of reads in base pairs or nt
* Related Studies	1	numItems		TRUE	Items -- Related Study Documents
*- Related Study	EXR-MTEWA1HealthyControls-ST	regexp(EXR-[a-zA-Z0-9]{6,}-ST)		TRUE	ID of related Study document
*-- DocURL	coll/Studies/doc/EXR-MTEWA1HealthyControls-ST	url			Relative ID (accession) of doc, provide Document URL
