#property	value	domain	default	required	description
Experiment		autoID(EXR, uniqAlphaNum, EX)			Document Describing Information About the Experiment; Experiment ID
- Status		enum(Add, Modify, Hold, Cancel, Suppress, Release, Protect, Validate)	Add	TRUE	Status of the document
- exRNA Source Isolation Protocol		[valueless]			Category -- exRNA Source Isolation Protocol
-- Protocol Description		string		TRUE	Description of exRNA source isolation Protocol
--* Protocol Documents		numItems			Items -- Protocol Documents
--*- Protocol File ID		autoID(EXR, uniqAlphaNum, FL)		TRUE	File ID - to be assigned by server
--*-- Protocol File		fileUrl			URL to protocol document file
--*-- File Description		string			Protocol document file description
-* References		numItems			Items -- Protocol references
-*- Reference ID		autoID(EXR, uniqAlphaNum, REF)		TRUE	Reference ID
-*-- PubMed ID		posInt			PubMed ID of reference
-*-- DOI		url 			Digitial Object Identifier of the protocol reference
-*-- Other URL		url 			Other URL of the protocol reference
-- Cell Culture Supernatant		[valueless]			Category -- Cell Culture Supernatant
--- Passage Details		string			Category -- Cell Culture Passage Details
---- Karyotype Done		enum(Yes, No)			If karyotype was done
----- Karyotype		string			Specify karyotype
---- Passage Number		int			In calculating passage number, include passages from the source
---- Passaging Method		enum(Trypsin, Collagenase, EDTA, Mechanical, Other)			Passaging method
----- Other Passaging Method		string			Other passaging method, if not found in list
---- Basal Media		string			Type of basal media used
---- Media Additives		string			Type of media additive
---- Substrate		enum(Mouse embryonic feeder layer, Gelatin, Matrigel, Geltrex, Poly-D-lysine, Other)			Type of cell culture substrate
----- Other Substrate		string			Other substrate, if not found in list
---- Temperature		string			Temperature at which the cell culture was passaged
---- Oxygen Tension		enum(0.5%, 2%, 5%, 8%, 21%)			Oxygen tension
---- Cell Type Marker		string		TRUE	Cell type marker
--- Differentiation		string			Category -- Differentiation
---- Total Duration		measurement(days)			Total duration of differentiation, in days
---* Stages 		numItems			Items -- Stages of differentiation
---*- Stage		int		TRUE	Differentiation stage number
---*-- Basal Media		string			Basal media used in this differentiation stage
---*-- Media Additives		string			Media additives used in this differentiation stage
---*-- Substrate		string			Substrate used in this differentiation stage
---*-- Duration		measurement(minutes)			Duration of this differentiation stage
--- Confluency		measurement(%)			Confluency of cell culture - proportion of surface in a culture dish or a flask which is covered by cells
--- Serum Used		enum(Yes, No)		TRUE	Was serum used?
---- Type		enum(Not vesicle depleted, Vesicle depleted in-house, Purchased vesicle depleted)			Type of serum (Not vesicle depleted, Vesicle depleted in-house, Purchased vesicle depleted)
----- Vesicle Depleted In-house		string			Category -- Vesicle depleted in-house
------ Centrifugation Parameters		string			Category -- Centrifugation Parameters
------- Temperature		measurement(C)			Centrifugation temperature
------- Speed		measurement(xg)			Centrifugation speed
------- Duration		measurement(hours)			Time taken for centrifugation
----- Purchased Vesicle Depleted		string			Category -- Purchased Vesicle Depleted
------ Product Details		string			Category -- Product Details
