#property	value	value	value	value	value	value	value	value	value	value	value	value	value	value	value	value	value	value	value	value	value	value	value	value	value	value	value	value	value	value	domain	default	required	description
Biosample	EXR-MTEWA1TestStudy1-BS	EXR-MTEWA1TestStudy2-BS	EXR-MTEWA1TestStudy3-BS	EXR-MTEWA1TestStudy4-BS	EXR-MTEWA1TestStudy5-BS	EXR-MTEWA1TestStudy6-BS	EXR-MTEWA1TestStudy7-BS	EXR-MTEWA1TestStudy8-BS	EXR-MTEWA1TestStudy9-BS	EXR-MTEWA1TestStudy10-BS	EXR-MTEWA1TestStudy11-BS	EXR-MTEWA1TestStudy12-BS	EXR-MTEWA1TestStudy13-BS	EXR-MTEWA1TestStudy14-BS	EXR-MTEWA1TestStudy15-BS	EXR-MTEWA1TestStudy16-BS	EXR-MTEWA1TestStudy17-BS	EXR-MTEWA1TestStudy18-BS	EXR-MTEWA1TestStudy19-BS	EXR-MTEWA1TestStudy20-BS	EXR-MTEWA1TestStudy21-BS	EXR-MTEWA1TestStudy22-BS	EXR-MTEWA1TestStudy23-BS	EXR-MTEWA1TestStudy24-BS	EXR-MTEWA1TestStudy25-BS	EXR-MTEWA1TestStudy26-BS	EXR-MTEWA1TestStudy27-BS	EXR-MTEWA1TestStudy28-BS	EXR-MTEWA1TestStudy29-BS	EXR-MTEWA1TestStudy30-BS	autoID(EXR, uniqAlphaNum, BS)			Document Describing Information About the Biosamples; Biosample ID
- Status	Add	Add	Add	Add	Add	Add	Add	Add	Add	Add	Add	Add	Add	Add	Add	Add	Add	Add	Add	Add	Add	Add	Add	Add	Add	Add	Add	Add	Add	Add	enum(Add, Modify, Hold, Cancel, Suppress, Release, Protect, Validate)	Add	TRUE	Status of the document
- Name	MT.Unique.ID_107	MT.Unique.ID_108	MT.Unique.ID_109	MT.Unique.ID_110	MT.Unique.ID_111	MT.Unique.ID_112	MT.Unique.ID_113	MT.Unique.ID_114	MT.Unique.ID_115	MT.Unique.ID_116	MT.Unique.ID_119	MT.Unique.ID_120	MT.Unique.ID_121	MT.Unique.ID_122	MT.Unique.ID_123	MT.Unique.ID_124	MT.Unique.ID_125	MT.Unique.ID_126	MT.Unique.ID_127	MT.Unique.ID_128	MT.Unique.ID_129	MT.Unique.ID_130	MT.Unique.ID_131	MT.Unique.ID_132	MT.Unique.ID_133	MT.Unique.ID_134	MT.Unique.ID_135	MT.Unique.ID_136	MT.Unique.ID_137	MT.Unique.ID_138	string		TRUE	Name of the sample
- Donor ID	EXR-MTEWA1TestStudy1-DO	EXR-MTEWA1TestStudy2-DO	EXR-MTEWA1TestStudy11-DO	EXR-MTEWA1TestStudy12-DO	EXR-MTEWA1TestStudy13-DO	EXR-MTEWA1TestStudy16-DO	EXR-MTEWA1TestStudy19-DO	EXR-MTEWA1TestStudy20-DO	EXR-MTEWA1TestStudy23-DO	EXR-MTEWA1TestStudy37-DO	EXR-MTEWA1TestStudy43-DO	EXR-MTEWA1TestStudy44-DO	EXR-MTEWA1TestStudy47-DO	EXR-MTEWA1TestStudy51-DO	EXR-MTEWA1TestStudy54-DO	EXR-MTEWA1TestStudy55-DO	EXR-MTEWA1TestStudy57-DO	EXR-MTEWA1TestStudy59-DO	EXR-MTEWA1TestStudy61-DO	EXR-MTEWA1TestStudy62-DO	EXR-MTEWA1TestStudy63-DO	EXR-MTEWA1TestStudy64-DO	EXR-MTEWA1TestStudy94-DO	EXR-MTEWA1TestStudy66-DO	EXR-MTEWA1TestStudy96-DO	EXR-MTEWA1TestStudy76-DO	EXR-MTEWA1TestStudy77-DO	EXR-MTEWA1TestStudy78-DO	EXR-MTEWA1TestStudy81-DO	EXR-MTEWA1TestStudy98-DO	regexp(EXR-[a-zA-Z0-9]{6,}-DO)		TRUE	ID of related donor document
-- DocURL	coll/Donors/doc/EXR-MTEWA1TestStudy1-DO	coll/Donors/doc/EXR-MTEWA1TestStudy2-DO	coll/Donors/doc/EXR-MTEWA1TestStudy11-DO	coll/Donors/doc/EXR-MTEWA1TestStudy12-DO	coll/Donors/doc/EXR-MTEWA1TestStudy13-DO	coll/Donors/doc/EXR-MTEWA1TestStudy16-DO	coll/Donors/doc/EXR-MTEWA1TestStudy19-DO	coll/Donors/doc/EXR-MTEWA1TestStudy20-DO	coll/Donors/doc/EXR-MTEWA1TestStudy23-DO	coll/Donors/doc/EXR-MTEWA1TestStudy37-DO	coll/Donors/doc/EXR-MTEWA1TestStudy43-DO	coll/Donors/doc/EXR-MTEWA1TestStudy44-DO	coll/Donors/doc/EXR-MTEWA1TestStudy47-DO	coll/Donors/doc/EXR-MTEWA1TestStudy51-DO	coll/Donors/doc/EXR-MTEWA1TestStudy54-DO	coll/Donors/doc/EXR-MTEWA1TestStudy55-DO	coll/Donors/doc/EXR-MTEWA1TestStudy57-DO	coll/Donors/doc/EXR-MTEWA1TestStudy59-DO	coll/Donors/doc/EXR-MTEWA1TestStudy61-DO	coll/Donors/doc/EXR-MTEWA1TestStudy62-DO	coll/Donors/doc/EXR-MTEWA1TestStudy63-DO	coll/Donors/doc/EXR-MTEWA1TestStudy64-DO	coll/Donors/doc/EXR-MTEWA1TestStudy94-DO	coll/Donors/doc/EXR-MTEWA1TestStudy66-DO	coll/Donors/doc/EXR-MTEWA1TestStudy96-DO	coll/Donors/doc/EXR-MTEWA1TestStudy76-DO	coll/Donors/doc/EXR-MTEWA1TestStudy77-DO	coll/Donors/doc/EXR-MTEWA1TestStudy78-DO	coll/Donors/doc/EXR-MTEWA1TestStudy81-DO	coll/Donors/doc/EXR-MTEWA1TestStudy98-DO	url			Relative ID (accession) of Donor ID doc, provide Document URL
- Biological Sample Elements																															[valueless]		TRUE	Category -- Elements in Biological Sample
-- Species																															[valueless]		TRUE	Category -- Species
--- Scientific Name	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	bioportalTerm(http://data.bioontology.org/search?ontology=NCBITAXON&subtree_root=http%3A%2F%2Fpurl.bioontology.org%2Fontology%2FNCBITAXON%2F40674)	Homo sapiens	TRUE	Scientific name of sample that distinguishes its taxonomy. This field is a look-ahead search box that connects to BioPortal, so start typing the biological name of the organism (Example: Homo sapiens, Mus musculus).
--- Common Name	Human	Human	Human	Human	Human	Human	Human	Human	Human	Human	Human	Human	Human	Human	Human	Human	Human	Human	Human	Human	Human	Human	Human	Human	Human	Human	Human	Human	Human	Human	enum(Human, Mouse, Rat)	Human		GenBank common name of the organism
--- Taxon ID	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	posInt	9606		Taxonomy ID
